id,value
Users.Croatia.Indonesian,1
Users.Cyprus,
Users.Cyprus.English,122
Users.Cyprus.French,1
Users.Cyprus.German,1
Users.Cyprus.Greek,1
Users.Cyprus.Polish,1
Users.Cyprus.Russian,1
Users.Cyprus.Spanish,2
Users.Czech Revar,
Users.Czech Revar.Czech,212
Users.Czech Revar.English,600
Users.Czech Revar.Others,25
Users.Denmark,
Users.Denmark.Czech,2
Users.Denmark.Danish,88
Users.Denmark.Dutch,1
Users.Denmark.English,2078
Users.Denmark.Finnish,1
Users.Denmark.French,4
Users.Denmark.German,8
Users.Denmark.Hungarian,1
Users.Denmark.Indonesian,1
Users.Denmark.Japanese,1
Users.Denmark.Polish,4
Users.Denmark.Portuguese,1
Users.Denmark.Spanish,7
Users.Denmark.Swedish,3
Users.Dominican Revar,
Users.Dominican Revar.English,157
Users.Dominican Revar.Japanese,1
Users.Dominican Revar.Latin,3
Users.Dominican Revar.Portuguese,1
Users.Dominican Revar.Spanish,389
Users.Ecuador,
Users.Ecuador.English,122
Users.Ecuador.Esperanto,1
Users.Ecuador.Estonian,1
Users.Ecuador.French,1
Users.Ecuador.Latin,7
Users.Ecuador.Portuguese,1
Users.Ecuador.Spanish,819
Users.Ecuador.Swedish,1
Users.Egypt,
Users.Egypt.Arabic,3
Users.Egypt.Bulgarian,1
Users.Egypt.Dutch,1
Users.Egypt.English,260
Users.Egypt.French,2
Users.Egypt.Indonesian,1
Users.Egypt.Spanish,1
Users.El Salvador,
Users.El Salvador.English,63
Users.El Salvador.Esperanto,1
Users.El Salvador.Latin,2
Users.El Salvador.Spanish,409
Users.Estonia,
Users.Estonia.English,272
Users.Estonia.Estonian,3
Users.Estonia.French,1
Users.Estonia.German,3
Users.Estonia.Hungarian,1
Users.Estonia.Russian,2
Users.Estonia.Spanish,2
Users.Europe,
Users.Europe.Arabic,1
Users.Europe.English,289
Users.Europe.Esperanto,1
Users.Europe.French,15
Users.Europe.German,10
Users.Europe.Hebrew,2
Users.Europe.Hungarian,1
Users.Europe.Indonesian,6
Users.Europe.Italian,1
Users.Europe.Polish,8
Users.Europe.Portuguese,2
Users.Europe.Russian,1
Users.Europe.Spanish,18
Users.Finland,
Users.Finland.Albanian,1
Users.Finland.Chinese,1
Users.Finland.English,1943
Users.Finland.Esperanto,2
Users.Finland.Finnish,323
Users.Finland.French,8
Users.Finland.German,2
Users.Finland.Indonesian,1
Users.Finland.Japanese,1
Users.Finland.Korean,1
Users.Finland.Portuguese,1
Users.Finland.Spanish,6
Users.Finland.Swedish,15
Users.France,
Users.France.Afrikaans,1
Users.France.Albanian,3
Users.France.Arabic,1
Users.France.Croatian,1
Users.France.Dutch,3
Users.France.English,3704
Users.France.Esperanto,1
Users.France.Farsi,9
Users.France.Filipino,2
Users.France.Finnish,8
Users.France.French,24775
Users.France.German,22
Users.France.Greek,1
Users.France.Hebrew,1
Users.France.Hungarian,1
Users.France.Icelandic,1
Users.France.Indonesian,49
Users.France.Italian,12
Users.France.Japanese,1
Users.France.Latin,1
Users.France.Polish,5
Users.France.Portuguese,12
Users.France.Punjabi,1
Users.France.Russian,3
Users.France.Spanish,125
Users.France.Swedish,1
Users.France.Ukrainian,1
Users.France.Vietnamese,3
Users.French Polynesia,
Users.French Polynesia.English,3
Users.French Polynesia.French,28
Users.French Guiana,
Users.French Guiana.English,1
Users.French Guiana.French,7
Users.French Southern Territories,
Users.French Southern Territories.English,2
Users.French Southern Territories.Spanish,1
Users.Germany,
Users.Germany.Albanian,4
Users.Germany.Bulgarian,1
Users.Germany.Czech,1
Users.Germany.Danish,2
Users.Germany.Devanagari,1
Users.Germany.Dutch,5
Users.Germany.English,7848
Users.Germany.Esperanto,2
Users.Germany.Finnish,1
Users.Germany.French,73
Users.Germany.German,4747
Users.Germany.Greek,1
Users.Germany.Hungarian,5
Users.Germany.Indonesian,33
Users.Germany.Italian,4
Users.Germany.Japanese,3
Users.Germany.Latin,1
Users.Germany.Polish,8
Users.Germany.Portuguese,10
Users.Germany.Russian,11
Users.Germany.Spanish,93
Users.Germany.Turkish,1
Users.Greece,
Users.Greece.English,1058
Users.Greece.Farsi,1
Users.Greece.French,6
Users.Greece.Greek,74
Users.Greece.Japanese,1
Users.Greece.Spanish,5
Users.Guam,
Users.Guam.English,207
Users.Guatemala,
Users.Guatemala.English,117
Users.Guatemala.French,2
Users.Guatemala.Latin,4
Users.Guatemala.Spanish,410
Users.Honduras,
Users.Honduras.English,97
Users.Honduras.Latin,1
Users.Honduras.Spanish,185
Users.Hong Kong,
Users.Hong Kong.English,1188
Users.Hong Kong.Others,39
Users.Hungary,
Users.Hungary.Catalan,1
Users.Hungary.Dutch,1
Users.Hungary.English,656
Users.Hungary.Finnish,1
Users.Hungary.French,2
Users.Hungary.German,4
Users.Hungary.Hungarian,499
Users.Hungary.Indonesian,2
Users.Hungary.Portuguese,1
Users.Hungary.Spanish,4
Users.Iceland,
Users.Iceland.Chinese,1
Users.Iceland.English,570
Users.Iceland.Filipino,1
Users.Iceland.French,30
Users.Iceland.German,9
Users.Iceland.Hindi,1
Users.Iceland.Hungarian,3
Users.Iceland.Icelandic,2
Users.Iceland.Indonesian,892
Users.Iceland.Italian,1
Users.Iceland.Polish,5
Users.Iceland.Portuguese,5
Users.Iceland.Punjabi,2
Users.Iceland.Russian,4
Users.Iceland.Spanish,48
Users.Iceland.Swedish,1
Users.Iceland.Turkish,1
Users.Iceland.Vietnamese,1
Users.India,
Users.India.Devanagari,4
Users.India.Dutch,1
Users.India.English,3641
Users.India.Esperanto,1
Users.India.Finnish,1
Users.India.French,3
Users.India.Hindi,31
Users.India.Indonesian,1
Users.India.Spanish,5
Users.Indonesia,
Users.Indonesia.Bulgarian,1
Users.Indonesia.Chinese,3
Users.Indonesia.Croatian,2
Users.Indonesia.Czech,1
Users.Indonesia.Danish,1
Users.Indonesia.Devanagari,1
Users.Indonesia.English,3621
Users.Indonesia.Farsi,1
Users.Indonesia.French,1
Users.Indonesia.German,2
Users.Indonesia.Greek,1
Users.Indonesia.Hungarian,1
Users.Indonesia.Icelandic,6
Users.Indonesia.Indonesian,16064
Users.Indonesia.Italian,5
Users.Indonesia.Japanese,9
Users.Indonesia.Korean,4
Users.Indonesia.Malay,10
Users.Indonesia.Punjabi,1
Users.Indonesia.Spanish,1
Users.Ireland,
Users.Ireland.Dutch,1
Users.Ireland.English,4069
Users.Ireland.Filipino,1
Users.Ireland.French,25
Users.Ireland.German,9
Users.Ireland.Hungarian,2
Users.Ireland.Indonesian,3
Users.Ireland.Italian,3
Users.Ireland.Polish,3
Users.Ireland.Portuguese,8
Users.Ireland.Spanish,20
Users.Israel,
Users.Israel.English,861
Users.Israel.French,5
Users.Israel.German,3
Users.Israel.Hebrew,44
Users.Israel.Polish,1
Users.Israel.Russian,5
Users.Israel.Spanish,4
Users.Italy,
Users.Italy.Czech,1
Users.Italy.Dutch,1
Users.Italy.English,1980
Users.Italy.Esperanto,1
Users.Italy.French,46
Users.Italy.German,11
Users.Italy.Greek,1
Users.Italy.Indonesian,5
Users.Italy.Italian,640
Users.Italy.Portuguese,13
Users.Italy.Russian,1
Users.Italy.Spanish,61
Users.Jamaica,
Users.Jamaica.English,337
Users.Jamaica.French,1
Users.Jamaica.Spanish,1
Users.Japan,
Users.Japan.Albanian,1
Users.Japan.Bulgarian,1
Users.Japan.Chinese,1
Users.Japan.Czech,1
Users.Japan.English,1817
Users.Japan.Finnish,1
Users.Japan.French,48
Users.Japan.German,9
Users.Japan.Hungarian,1
Users.Japan.Indonesian,95
Users.Japan.Japanese,25
Users.Japan.Korean,1
Users.Japan.Polish,1
Users.Japan.Portuguese,26
Users.Japan.Spanish,53
Users.Korea,
Users.Korea.Bulgarian,2
Users.Korea.Czech,1
Users.Korea.Dutch,1
Users.Korea.English,796
Users.Korea.Esperanto,1
Users.Korea.French,7
Users.Korea.German,2
Users.Korea.Indonesian,38
